1: -3.5169, 55.005, 8.722; 
   90°, 0.000003°, -90°
2: 45.155, 52.788, 1.1221;          
   90°, 0.000003°, -90°
3: -7.56, 39.956, 5.4496;           
    90°, 0.000003°, -90°
4: 31.675, 38.214, 1.0612;          
   90°, 0.000003°, -90°
5: -29.254, 25.21, 3.4554;          
   90°, 0.000003°, -90°
6: 21.911, 23.787, 0.19918;         
   90°, 0.000003°, -90°
7: -37.202, 11.929, 3.1432;         
   90°, 0.000003°, -90°
8: 18.09, 12.096, 0.93347;          
   90°, 0.000003°, -90°
9: -51.245, 0.93643, 6.8119;        
   90°, 0.000003°, -90°
10: -1.8779, 7.4196, -4.172;        
    90°, 0.000003°, -90°
11: 50.021, 2.1171, 6.005;          
     90°, 0.000003°, -90°
12: -11.308, -9.2177, -7.3999;      
     90°, 0.000003°, -90°
13: 37.13, -9.6717, 4.5465;         
     90°, 0.000003°, -90°
14: -22.572, -22.794, -6.3613;      
     90°, 0.000003°, -90°
15: 20.867, -23.513, 2.9822;        
     90°, 0.000003°, -90°
16: -41.261, -36.113, -1.3643;      
     90°, 0.000003°, -90°
17: 8.7225, -37.025, -0.13645;      
     90°, 0.000003°, -90°
18: -49.026, -51.162, -2.9469;      
     90°, 0.000003°, -90°
19: 5.5708, -54.224, -0.13421;      
     90°, 0.000003°, -90°
20: -26.673, 56.012, 10.21;         
     90°, 0.000003°, -90°
21: -16.005, 53.289, 9.3117;        
     90°, 0.000003°, -90°
22: -50.845, 24.388, 4.7057;        
     90°, 0.000003°, -90°
23: 16.044, 23.596, -0.53317;       
     90°, 0.000003°, -90°
24: 25.386, 30.289, 1.2036;         
     90°, 0.000003°, -90°
25: -27.654, 10.01, 1.2877;         
     90°, 0.000003°, -90°
26: -5.4892, 11.987, -1.2216;       
     90°, 0.000003°, -90°
27: 16.389, 14.529, -0.2186;        
     90°, 0.000003°, -90°
28: -17.296, 3.1859, -2.49;         
     90°, 0.000003°, -90°
29: 8.5549, -2.4636, -3.5446;       
     90°, 0.000003°, -90°
30: 30.94, 2.3816, 5.9466;          
     90°, 0.000003°, -90°
31: -10.179, -15.083, -7.6625;      
     90°, 0.000003°, -90°
32: -46.325, -24.292, 2.0816;       
     90°, 0.000003°, -90°
33: -30.47, -29.072, -5.2176;       
     90°, 0.000003°, -90°
34: 29.428, -24.994, 7.0879;        
     90°, 0.000003°, -90°
35: 51.667, -32.513, 7.6953;        
     90°, 0.000003°, -90°
36: -49.261, -48.913, -2.8015;      
     90°, 0.000003°, -90°
37: 18.122, -44.225, 4.1832;        
     90°, 0.000003°, -90°
38: 20.174, -52.562, 5.4267;        
     90°, 0.000003°, -90°
39: 35.971, -49.624, 7.9371;        
     90°, 0.000003°, -90°
FINE

