0: -42.8021, 56.5691, 6.37667; 
   90°, 0.000003°, -90°
1: -3.5169, 55.005, 8.722; 
   90°, 0.000003°, -90°
2: 45.155, 52.788, 1.1221;          
   90°, 0.000003°, -90°
3: -7.56, 39.956, 5.4496;           
    90°, 0.000003°, -90°
4: 31.675, 38.214, 1.0612;          
   90°, 0.000003°, -90°
5: -29.254, 25.21, 3.4554;          
   90°, 0.000003°, -90°
6: 21.911, 23.787, 0.19918;         
   90°, 0.000003°, -90°
7: -37.202, 11.929, 3.1432;         
   90°, 0.000003°, -90°
8: 18.09, 12.096, 0.93347;          
   90°, 0.000003°, -90°
9: -51.245, 0.93643, 6.8119;        
   90°, 0.000003°, -90°
10: -1.8779, 7.4196, -4.172;        
    90°, 0.000003°, -90°
11: 50.021, 2.1171, 6.005;          
     90°, 0.000003°, -90°
12: -11.308, -9.2177, -7.3999;      
     90°, 0.000003°, -90°
13: 37.13, -9.6717, 4.5465;         
     90°, 0.000003°, -90°
14: -22.572, -22.794, -6.3613;      
     90°, 0.000003°, -90°
15: 20.867, -23.513, 2.9822;        
     90°, 0.000003°, -90°
16: -41.261, -36.113, -1.3643;      
     90°, 0.000003°, -90°
17: 8.7225, -37.025, -0.13645;      
     90°, 0.000003°, -90°
18: -49.026, -51.162, -2.9469;      
     90°, 0.000003°, -90°
19: 5.5708, -54.224, -0.13421;      
     90°, 0.000003°, -90°
20: -26.673, 56.012, 10.21;         
     90°, 0.000003°, -90°
FINE

