21: -16.005, 53.289, 9.3117;        
     90°, 0.000003°, -90°
22: -50.845, 24.388, 4.7057;        
     90°, 0.000003°, -90°
23: 16.044, 23.596, -0.53317;       
     90°, 0.000003°, -90°
24: 25.386, 30.289, 1.2036;         
     90°, 0.000003°, -90°
25: -27.654, 10.01, 1.2877;         
     90°, 0.000003°, -90°
26: -5.4892, 11.987, -1.2216;       
     90°, 0.000003°, -90°
27: 16.389, 14.529, -0.2186;        
     90°, 0.000003°, -90°
28: -17.296, 3.1859, -2.49;         
     90°, 0.000003°, -90°
29: 8.5549, -2.4636, -3.5446;       
     90°, 0.000003°, -90°
30: 30.94, 2.3816, 5.9466;          
     90°, 0.000003°, -90°
31: -10.179, -15.083, -7.6625;      
     90°, 0.000003°, -90°
32: -46.325, -24.292, 2.0816;       
     90°, 0.000003°, -90°
33: -30.47, -29.072, -5.2176;       
     90°, 0.000003°, -90°
34: 29.428, -24.994, 7.0879;        
     90°, 0.000003°, -90°
35: 51.667, -32.513, 7.6953;        
     90°, 0.000003°, -90°
36: -49.261, -48.913, -2.8015;      
     90°, 0.000003°, -90°
37: 18.122, -44.225, 4.1832;        
     90°, 0.000003°, -90°
38: 20.174, -52.562, 5.4267;        
     90°, 0.000003°, -90°
39: 35.971, -49.624, 7.9371;        
     90°, 0.000003°, -90°
FINE
